id,conversation_id,created_at,username,user_id,tweet
1.5465798632422973e+18,1.5465796187940905e+18,2022-07-11 19:39:08+00:00,5454annisa,131065154,"Berkaca dari kejadian-kejadian sebelumnya, gue rasa KAI emang BARU MAU BERBENAH kalo udah ada PRESSURE. Gue bikin thread ini jujur karena KECEWA bngt sama KAI, kejadian ini boleh dijadiin pelajaran ya buat tmn-tmn semua."
1.5465805013636915e+18,1.5465796187940905e+18,2022-07-11 19:41:40+00:00,5454annisa,131065154,Peristiwa PENCURIAN ini terjadi tgl 10 Juli 2022 di KA KALIGUNG gerbong ekonomi-4 seat 14C sekitar jam 06.20 WIB.
1.5465809927096689e+18,1.5465796187940905e+18,2022-07-11 19:43:37+00:00,5454annisa,131065154,Gue naik KA Kaligung keberangkatan dari Stasiun Semarang Poncol jam 05.00 WIB dengan tujuan Stasiun Pemalang jam 06.50 WIB. https://t.co/hFOxQbLndW
1.5465811881265234e+18,1.5465796187940905e+18,2022-07-11 19:44:23+00:00,5454annisa,131065154,"Gue sekarang sadar kalau gue SALAH BESAR dengan nganggap Kereta Api adalah mode transportasi yang aman, kenyataannya tetep aja gue jadi korban PENCURIAN DI DALAM KERETA API."
1.5465812813407396e+18,1.5465796187940905e+18,2022-07-11 19:44:46+00:00,5454annisa,131065154,Gue mau cerita dari awal banget supaya bisa mudah ditarik benang merahnya apa aja yg menurut gue salah &amp; HARUS DIPERBAIKI.
1.546581618034221e+18,1.5465796187940905e+18,2022-07-11 19:46:06+00:00,5454annisa,131065154,Dari sini aja prosedurnya udah SALAH dan bener-bener nunjukin PT KAI SAMA SEKALI GA SERIUS TERHADAP KEAMANAN PENUMPANG.
1.546582083148976e+18,1.5465796187940905e+18,2022-07-11 19:47:57+00:00,5454annisa,131065154,"Di garda terdepan, KAI udah terang-terangan melanggar aturannya sendiri. https://t.co/vrVGrX6g93"
1.5465824305968087e+18,1.5465796187940905e+18,2022-07-11 19:49:20+00:00,5454annisa,131065154,"Lalu saat udah berada di kabin penumpang, gue saat itu bawa 2 tas: 1 ransel hitam isinya ada laptop + toolsnya, HP + toolsnya, hardisk eksternal 500 GB, flashdisk 8GB, skincare, makeup, dan kunci kos ; 1 tas kecil warna hijau isinya HP+charger, dompet, dan powerbank."
1.546582575317074e+18,1.5465796187940905e+18,2022-07-11 19:49:54+00:00,5454annisa,131065154,"Kondisi gerbong ekonomi-4 saat itu cukup lengang, total penumpangnya ga sampai setengah kapasitas gerbong lah. Gue bersikap seperti penumpang lain pada umumnya, saat sampe seat, gue taruh tas ransel hitam DI TEMPAT YG SEHARUSNYA, di bagasi yg posisinya ada di atas seat."
1.5465828285355336e+18,1.5465796187940905e+18,2022-07-11 19:50:55+00:00,5454annisa,131065154,"FYI bentukan bagasinya begini, jadi emang barangnya ga kelihatan samsek dari bawah (seat) dan juga ga ada sekat dari depan sampe belakang, jadi mudah aja kalau mau geser barang ke arah seat belakang/depan tanpa harus ngeluarin barangnya dulu dari bagasi. https://t.co/3JMzuf6LG1"
