,id,conversation_id,created_at,username,user_id,tweet
35,1145138401785466880,1145138401785466880,2019-06-30 01:14:05+00:00,kurawa,46651600,"Mumpung lagi santai, gue mau lanjutin cerita soal kondisi bisnis penerbangan di Indonesia.. kaitannya dengan tiket yang katanya mahal tsb apa membuat airlines jadi kaya raya ? 😄..

Hari Minggu omongin yang agak serius neh"
34,1145139973957414912,1145138401785466880,2019-06-30 01:20:20+00:00,kurawa,46651600,"1. Diawal2 gue sudah katakan kalo bisnis penerbangan ini salah satu bisnis yang paling beresiko, dari semua airlines yang pernah berdiri di negeri ini semua tumbang bangkrut yang tersisa spt Garuda hidup dari Suntikan dana APBN, Lion skr pun sudah mulai tahap UGD"
33,1145141370434101248,1145138401785466880,2019-06-30 01:25:53+00:00,kurawa,46651600,"2. Garuda setiap tahun menghisap darah uang rakyat rata2 Rp. 3 Triliun, bayangkan kalo uang tersebut kita ambil untuk menutupi defisit BPJS ada berapa juta orang yang terbantu dibanding kita mensubsidi orang utk naik sekedar naik pesawat ?"
32,1145141902276120576,1145138401785466880,2019-06-30 01:27:59+00:00,kurawa,46651600,"3. Kejadian beberapa hari lalu saat Garuda ""tertangkap basah"" melakukan make up laporan keuangan adalah bukti betapa bobroknya kondisi keuangan perusahaan plat merah ini.. tidak mampu ambil untung maka laporan keuangan nya yang di poles agar seolah2 untung"
31,1145142874201186304,1145138401785466880,2019-06-30 01:31:51+00:00,kurawa,46651600,"4. Salah satu hal yang mengecewakan dari Meneg BUMN ada di kasus Garuda ini, terasa begitu amatir sebagai seorang bekas ahli keuangan ibu menteri ini bisa ketipu mentah2 (atau jangan2 merestui?) catatan keuangan Garuda yang begitu gampang dilihat bohongnya bisa diklaim untung https://t.co/bP8XOgCoST"
30,1145144325812002816,1145138401785466880,2019-06-30 01:37:37+00:00,kurawa,46651600,5. Modus akal2 an laporan keuangan garuda ini juga aneh dia memasukkan potensi pendapatan dari jasa penyediaan WIFI yang bukan bagian dari bisnis utama mereka senilai hampir 3 Triliun ke pendapatan ini menandakan bisnis utama mereka bermasalah.. angkanya sama dgn kerugian 2017 https://t.co/7yZKokUAr6
29,1145145723777740800,1145138401785466880,2019-06-30 01:43:10+00:00,kurawa,46651600,"6. Mengapa Garuda begitu nekat melakukan tindakan blunder dan memalukan manipulasi laporan keuangan tsb, ini terkait dengan kebijakan Bu Meneg BUMN yang suka menempatkan banyak orang berlatar keuangan menjadi Dirut di beberapa BUMN, targetnya poles laporan sebagus mungkin https://t.co/8Bn5kOQnB9"
28,1145146428542443521,1145138401785466880,2019-06-30 01:45:59+00:00,kurawa,46651600,"7. Sebelum Dirut Garuda ini ditugasi di Garuda dia juga ditempatkan sbg Dirut Pelindo 3 yang menurut info laporan keuangan juga jadi ""bagus"" bedanya di Pelindo 3 komisaris dari luar perusahaan tidak kompeten spt di Garuda ada Chaerul Tanjung yg paham laporan keuangan"
27,1145147411683168256,1145138401785466880,2019-06-30 01:49:53+00:00,kurawa,46651600,"8. Akal2an manipulasi laporan keuangan BUMN pasti ada batasnya, kalo gue lihat kenekatan yang dilakukan Garuda dengan begitu ""menggampangkan"" masalah ada indikasi modus spt ini sudah sering sukses.. harus dicek lagi BUMN yang bisa tiba2 untung https://t.co/ul4WuOYg7t"
26,1145148154259525632,1145138401785466880,2019-06-30 01:52:50+00:00,kurawa,46651600,"9. Salah satu faktor mengapa modus BUMN melakukan manipulasi laporan keuangan ""Untung"" terkait dengan UU BUMN yang mewajibkan kalo semua operasi usaha BUMN harus Untung jika merugi ada potensi Pidana .. diambil jalan pintas dengan cara cakepin laporan keuangan saja"
25,1145148851893895168,1145138401785466880,2019-06-30 01:55:36+00:00,kurawa,46651600,"10. Bayangkan Garuda Group dengan harga tiket yang ""katanya"" mahal saja masih menanggung kerugian sebesar Rp 3 triliun/tahun ..
Makanya mau siapapun protes turunkan harga Garuda Grup pasti tutup kuping.. mereka sudah berdarah2 sejak lama"
24,1145149440195383297,1145138401785466880,2019-06-30 01:57:57+00:00,kurawa,46651600,11. Banyak orang yang katakan bisnis Garuda untung yg menyebabkan rugi karena korupsi? 😄.. yang ngomong gini biasanya latar belakang sekolahnya kalo gak sastra atau seni rupa.. baca dulu laba rugi operasionalnya dan lihat HPP per jam terbang  yang kmrn gue share
