,conversation_id,id,username,tweet,created_at,label_x,accuracy,anger,fear,happy,love,sadness,label_y
0,998992505361252353,998992505361252353,zoelfick,"Mumpung sudah banyak yang tidur, sepertinya saya akan memilih ngoceh lagi sejenak menjelang ikut tertidur.",2018-05-22 18:22:28+00:00,sadness,0.9497953653335570,0.06179829337956580,0.3081583905627810,0.40308824693397600,0.17816419522822600,0.6640480536155200,sadness
1,998992505361252353,998992508343349248,zoelfick,"Mau ngoceh soal apa? Ya, soal tidur saja. Bukan ingin meniru pakar kesehatan, atau meniru mereka yang punya ilmu mendalam ttg manfaat tidur.

Hanya ingin mengoceh ttg umat yang tertidur. Dilenakan perasaan besar, tapi selalu merasa lemah, selalu merasa tak berdaya.",2018-05-22 18:22:29+00:00,sadness,0.9997342228889470,0.10750718858689400,0.1031416282852670,0.17698809844921600,0.14378292274699400,0.9955020063645440,sadness
2,998992505361252353,998994427862396929,zoelfick,"Itu cerita yang jamak didengar dan akrab, terutama bagi kalangan yang menggeluti dunia sufistik, atau sekadar belajar sufisme",2018-05-22 18:30:06+00:00,happy,0.9964203834533690,0.050021171066461100,0.0,0.8760267116199400,0.305608605031813,0.21623019258623500,happy
3,998992505361252353,998994425299718144,zoelfick,Pernah dengar cerita ttg iblis yang takut kepada orang yang tidur daripada orang yang sedang ibadah?,2018-05-22 18:30:06+00:00,fear,0.9983905553817750,0.14408314353839500,0.9208414573747540,0.15014415039405600,0.2469190021019640,0.15325409120794000,fear
4,998992505361252353,998994429946970112,zoelfick,"Kok bisa iblis lebih takut kepada orang yang tidur, tapi justru tidak takut kepada yang beribadah?",2018-05-22 18:30:07+00:00,sadness,0.9907271862030030,0.2334318958580750,0.33009151357470200,0.10006018541411700,0.12657887054906000,0.7976982278260990,sadness
5,998992505361252353,998994432216072192,zoelfick,Yang tertidur itu punya ilmu. Sementara yang beribadah merasa dekat dengan Tuhan tanpa dibekali ilmu.,2018-05-22 18:30:07+00:00,sadness,0.9995042085647580,0.12012082826896200,0.06445849663146970,0.23921974208934000,0.16619426718239500,0.9519909181808740,sadness
6,998992505361252353,998994434615226368,zoelfick,"Dalam logika iblis tadi, membiarkan yang berilmu tertidur lebih menguntungkannya.",2018-05-22 18:30:08+00:00,anger,0.9932011961936950,0.8504572065632440,0.3298249416343400,0.17612211198976600,0.011770871538358000,0.19941408075173200,anger
7,998992505361252353,998994437211488256,zoelfick,"Maka itu, melihat seorang ahli ibadah yang beribadah tanpa ilmu, urung diusik si iblis cuma karena ada yang berilmu tertidur di dekatnya.",2018-05-22 18:30:08+00:00,sadness,0.9222493171691900,0.04666642327981570,0.5725828834808470,0.13034994388699500,0.0568207732584996,0.78926122612692,sadness
8,998992505361252353,998994439900024832,zoelfick,"Jika kuganggu yang beribadah, bisa-bisa yang tidur tadi terbangun. Jadi kubiarkan saja yang beribadah itu mabuk dengan ibadahnya, dan ia tetap beribadah bersama kebodohannya.

Begitukah logika si iblis tadi.",2018-05-22 18:30:09+00:00,sadness,0.8713512420654300,0.26609819261614300,0.5130953218968440,0.06054910989141680,0.038149905639465100,0.6862633149192550,sadness
9,998992505361252353,998996749703303169,zoelfick,"Iya begitulah alasan si iblis. Baginya orang yang berilmu lebih menakutkan, walaupun ia tertidur.",2018-05-22 18:39:20+00:00,fear,0.9995026588439940,0.17455053898750100,1.0,0.17517203763252800,0.14180773574400000,0.10937117358726400,fear
